rno,level,lose,point,profileIconId,summonerName,tier,win
723,47,65,509,23,귀엽고매혹적이다,GRANDMASTER,157
724,303,1109,508,4803,LaP1s,GRANDMASTER,1147
725,196,123,508,4777,Heimishkingmono,GRANDMASTER,169
726,187,510,507,4802,끼인세대,GRANDMASTER,539
727,85,365,507,3838,fengdeyanse,GRANDMASTER,467
728,95,371,507,4690,chixiaoyubaby,GRANDMASTER,466
729,145,694,506,4411,코너스빵셔틀,GRANDMASTER,799
730,188,450,506,7,초보강아지,GRANDMASTER,523
731,288,397,505,3379,려창동,GRANDMASTER,438
732,378,190,504,4661,JunB,GRANDMASTER,220
733,224,114,504,4491,Diuqil,GRANDMASTER,142
734,124,449,503,4036,NeedChange,GRANDMASTER,498
735,103,524,502,29,XinMo2,GRANDMASTER,582
736,224,407,502,4018,weatheri,GRANDMASTER,431
737,301,1245,500,3797,XKZXZKZX,GRANDMASTER,1307
738,489,796,500,4832,hadess,GRANDMASTER,813
739,119,591,499,4660,Keqing,GRANDMASTER,625
740,332,389,499,4095,KimSangHoon,GRANDMASTER,395
741,72,144,498,4491,haburu9,GRANDMASTER,192
742,126,613,496,1388,버섯아가,GRANDMASTER,724
743,130,596,495,4764,03Gamin,GRANDMASTER,706
744,60,142,495,4690,건들면누누로던짐,GRANDMASTER,243
745,147,80,495,4568,흐림,GRANDMASTER,110
746,165,1049,494,4832,SEKAIICHI,GRANDMASTER,1104
747,358,1139,493,4832,cutemiao,GRANDMASTER,1143
748,165,887,493,4,404mobsharenfan,GRANDMASTER,982
749,147,529,493,20,릴솔리드,GRANDMASTER,575
750,83,278,493,1597,김정섹,GRANDMASTER,376
751,383,899,492,4762,HUYATVRamca,GRANDMASTER,923
752,293,804,492,20,양여명,GRANDMASTER,805
753,89,344,492,4783,faprep,GRANDMASTER,407
754,212,288,492,4417,외도,GRANDMASTER,354
755,252,186,492,4631,수고했다이야공,GRANDMASTER,223
756,420,156,492,3353,BattIeQueenKata,GRANDMASTER,138
757,186,319,491,22,내가강만식,GRANDMASTER,317
758,245,114,491,4107,ZOEKlNG,GRANDMASTER,163
759,231,599,490,4025,SanspareiI,GRANDMASTER,645
760,351,163,490,4786,roTlqkf,GRANDMASTER,198
761,147,680,489,3879,BRB정훈,GRANDMASTER,680
762,153,872,488,4568,성계차이,GRANDMASTER,966
763,174,220,488,7,ThreshOnly,GRANDMASTER,260
764,219,257,486,3233,175050,GRANDMASTER,291
765,75,152,486,3150,flovverdance,GRANDMASTER,193
766,382,822,485,3478,Mocha,GRANDMASTER,848
767,348,478,485,4828,I백년언약I,GRANDMASTER,523
768,69,49,485,4779,TESzhaoAD9375639,GRANDMASTER,126
769,245,1126,484,4795,smilingzyq,GRANDMASTER,1150
770,102,464,482,4759,난아직할수있어,GRANDMASTER,555
771,317,94,482,4355,NYGChungSin,GRANDMASTER,170
772,199,977,481,3864,crowncrowncrown1,GRANDMASTER,986
773,154,808,481,4783,1게임1분석,GRANDMASTER,878
774,163,709,479,552,TrustMyseIf,GRANDMASTER,808
775,228,344,479,16,PhasedKiller,GRANDMASTER,368
776,469,1179,478,4393,Tangwagege,GRANDMASTER,1210
777,450,1097,478,1152,Karasss,GRANDMASTER,1139
778,190,146,478,4816,CitrusReticulata,GRANDMASTER,299
779,238,170,478,4663,불다이아,GRANDMASTER,163
780,447,1081,477,4558,ANGTV,GRANDMASTER,1107
781,187,747,477,4626,mindie,GRANDMASTER,794
782,236,402,476,3522,yangyuXD,GRANDMASTER,449
783,241,930,474,4557,야빙밍,GRANDMASTER,1016
784,108,357,474,4568,ShadowBRB,GRANDMASTER,421
785,78,303,474,29,jajaaaangmun,GRANDMASTER,371
786,315,1254,472,3804,심심풀이여신,GRANDMASTER,1279
787,320,256,472,1625,작은모래성,GRANDMASTER,287
788,522,1095,471,4816,연세대표미드,GRANDMASTER,1123
